work_year,role,avg_salary_usd
2020,Analyst,58838.692307692305
2020,Data Engineer,87943.83333333333
2020,Data Scientist,94110.08333333333
2020,Director,325000.0
2020,ML Engineer,118911.0
2020,Manager,190200.0
2020,Other,53650.75
2020,Research,246000.0
2021,Analyst,93840.8275862069
2021,Architect,166666.66666666666
2021,Data Engineer,106839.90196078431
2021,Data Scientist,86774.72222222222
2021,Director,160637.8
2021,ML Engineer,111615.9
2021,Manager,137639.88888888888
2021,Other,64158.0
2021,Research,75949.54545454546
2022,Analyst,98760.49350649351
2022,Architect,182076.625
2022,Data Engineer,126284.71111111112
2022,Data Scientist,140270.67901234567
2022,Director,164365.6
2022,ML Engineer,112658.6551724138
2022,Manager,151213.66666666666
2022,Other,129143.33333333333
2022,Research,105569.0
